quote_id,scrape_timestamp,data_type,source_name,origin,destination,route,route_weight,travel_date,advance_purchase_days,booking_window,airline,flight_number,departure_time,arrival_time,duration_minutes,stops,fare_class,base_fare_inr,taxes_inr,user_development_fee_inr,convenience_fee_inr,total_fare_inr,currency,availability,status,outlier_flag,duplicate_flag,missing_value_flag,exclusion_flag,collection_method,notes
APIX-000001,2026-08-05 00:39:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BOM,DEL-BOM,0.24,2026-09-19,45,T+45,SpiceJet,SG-4488,10:15,11:50,95,0,Economy,15000,2841.58,200,0.0,18041.58,INR,17,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000002,2026-09-01 08:19:00,synthetic_prototype,Prototype_OTA_Feed_A,BLR,HYD,BLR-HYD,0.12,2026-10-16,45,T+45,Akasa Air,QP-2954,21:20,22:53,93,0,Economy,15000,2861.67,0,0.0,17861.67,INR,72,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000003,2026-08-02 16:27:00,synthetic_prototype,Prototype_OTA_Feed_B,BLR,HYD,BLR-HYD,0.12,2026-09-16,45,T+45,Akasa Air,QP-2723,06:45,08:15,90,0,Economy,15000,2921.37,150,0.0,18071.37,INR,42,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000004,2026-08-07 14:41:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,BLR,DEL-BLR,0.19,2026-08-08,1,T+1,IndiGo,6E-131,16:05,18:45,160,0,Economy,15000,2636.66,100,99.0,17835.66,INR,9,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000005,2026-07-29 08:13:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BOM,DEL-BOM,0.24,2026-09-12,45,T+45,IndiGo,6E-2938,20:50,21:46,56,0,Economy,15000,2903.21,100,0.0,18003.21,INR,22,Available,False,True,False,True,prototype_generated,Synthetic duplicate-like record for cleaning pipeline testing
APIX-000006,2026-09-04 14:55:00,synthetic_prototype,Prototype_OTA_Feed_A,BOM,BLR,BOM-BLR,0.17,2026-10-19,45,T+45,SpiceJet,SG-9242,16:50,19:56,186,0,Economy,15000,2915.78,150,99.0,18164.78,INR,0,Sold Out,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000007,2026-09-03 22:02:00,synthetic_prototype,Prototype_OTA_Feed_B,BLR,HYD,BLR-HYD,0.12,2026-09-10,7,T+7,Air India,AI-2604,13:55,15:42,107,0,Economy,15000,1836.57,0,0.0,16836.57,INR,39,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000008,2026-08-22 18:59:00,synthetic_prototype,Prototype_OTA_Feed_A,DEL,CCU,DEL-CCU,0.14,2026-10-06,45,T+45,Akasa Air,QP-1201,05:15,07:55,160,0,Economy,15000,2314.99,100,199.0,17613.99,INR,55,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000009,2026-07-31 17:21:00,synthetic_prototype,Prototype_Airline_Feed,DEL,BLR,DEL-BLR,0.19,2026-08-07,7,T+7,IndiGo,6E-983,14:55,16:49,114,0,Economy,15000,2928.26,150,149.0,18227.26,INR,100,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000010,2026-07-19 22:26:00,synthetic_prototype,Prototype_OTA_Feed_B,DEL,BLR,DEL-BLR,0.19,2026-09-02,45,T+45,IndiGo,6E-6699,20:45,23:15,150,0,Economy,15000,2505.38,200,99.0,17804.38,INR,17,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000011,2026-08-31 04:57:00,synthetic_prototype,Prototype_Airline_Feed,BLR,HYD,BLR-HYD,0.12,2026-09-30,30,T+30,Air India Express,IX-5808,10:40,12:47,127,0,Economy,15000,2497.38,0,149.0,17646.38,INR,54,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000012,2026-08-31 16:48:00,synthetic_prototype,Prototype_OTA_Feed_A,BOM,BLR,BOM-BLR,0.17,2026-09-30,30,T+30,Air India,AI-9228,21:45,00:28,163,0,Economy,15000,2328.46,100,0.0,17428.46,INR,35,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
APIX-000013,2026-06-28 15:39:00,synthetic_prototype,Prototype_Airline_Feed,BLR,HYD,BLR-HYD,0.12,2026-06-29,1,T+1,SpiceJet,SG-1129,10:25,12:19,114,0,Economy,15000,2849.26,0,99.0,17948.26,INR,17,Available,False,False,False,False,prototype_generated,Synthetic record for prototype/testing; not a live fare quote
